p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
0,0.5196642399545528,0.987,0.886,0,1,Vim,0.10099999999999998
0,0.517736604408638,0.924,0.728,0,1,Lrp1,0.19600000000000006
0,0.5015556006561136,0.683,0.339,0,1,Cygb,0.34400000000000003
2.805387039170415e-303,0.6907202021287775,0.646,0.412,7.018236755892626e-299,1,Scarb2,0.23400000000000004
2.7029731488116217e-302,0.7638349602009442,0.718,0.514,6.7620279263820344e-298,1,Crispld2,0.20399999999999996
6.623513928578212e-300,0.7305648255326713,0.532,0.298,1.6570044795124113e-295,1,Hivep3,0.23400000000000004
1.7917399903141322e-295,0.7844138089284849,0.518,0.294,4.4823959337688644e-291,1,Nedd9,0.22400000000000003
5.4420606357438666e-291,0.6929679474405801,0.521,0.289,1.3614403092440432e-286,1,Cyb5r3,0.23200000000000004
2.954771998030668e-290,0.5663648658969689,0.911,0.755,7.391953107473322e-286,1,Cebpb,0.15600000000000003
4.822535180897506e-290,0.5136737951948108,0.822,0.601,1.206453626205129e-285,1,Oat,0.22099999999999997
7.653838821177726e-284,0.8501581564363798,0.677,0.489,1.9147608578940317e-279,1,Nfkbiz,0.18800000000000006
1.0370236807350735e-282,0.6561242875885294,0.569,0.339,2.5943221420949332e-278,1,Lman1,0.22999999999999993
5.414927114939567e-274,0.5482193171952118,0.811,0.595,1.3546523163444316e-269,1,Ptgis,0.21600000000000008
6.732867888792414e-273,0.6500963433021082,0.578,0.346,1.6843615597391982e-268,1,Emp1,0.23199999999999998
2.484159973748714e-272,0.6078472663866314,0.662,0.434,6.214623006327158e-268,1,P4hb,0.22800000000000004
1.239323873321996e-260,0.5311420279772392,0.707,0.475,3.100416533889637e-256,1,Micos10,0.23199999999999998
1.1785237056208579e-257,0.5762588050225286,0.684,0.454,2.9483127543517e-253,1,Nexn,0.23000000000000004
4.373999287457961e-257,0.8072695052090484,0.591,0.378,1.094243401743358e-252,1,Rgs2,0.21299999999999997
4.0917128099328343e-252,0.5820926515406551,0.647,0.428,1.0236237936608972e-247,1,Hdlbp,0.21900000000000003
1.2053224448170541e-244,0.6272368016292009,0.558,0.345,3.0153551601988245e-240,1,Pros1,0.21300000000000008
6.219328733115002e-242,0.6004273194809467,0.61,0.392,1.55588946916338e-237,1,Cped1,0.21799999999999997
3.8317049795883125e-234,0.6822092555285302,0.693,0.517,9.585776347436081e-230,1,Nfkbia,0.17599999999999993
3.146929601205413e-232,0.6264410804136786,0.534,0.329,7.872673783335582e-228,1,P3h3,0.20500000000000002
4.153370808129437e-230,0.5594397876404782,0.697,0.499,1.0390487750697411e-225,1,Ddr2,0.19799999999999995
1.7074306318685033e-223,0.651331406085253,0.515,0.315,4.2714792117454347e-219,1,Nrp2,0.2
1.1451424482224352e-222,0.5035534517637759,0.758,0.561,2.864802862718066e-218,1,Twsg1,0.19699999999999995
1.2860803944244329e-204,0.5850698997640802,0.575,0.372,3.217387322731604e-200,1,Bmp3,0.20299999999999996
7.814467656175486e-204,0.5545459984270942,0.657,0.457,1.9549453735454213e-199,1,Anxa2,0.2
1.089388314447462e-200,0.5074815906868861,0.663,0.454,2.7253227462532156e-196,1,Adh1,0.20900000000000002
5.3394535455194835e-197,0.5531355010870654,0.528,0.33,1.3357710934826092e-192,1,Ncald,0.198
4.568644841635636e-196,0.7574652124006974,0.644,0.487,1.142937880031987e-191,1,Ifrd1,0.15700000000000003
2.2606804441655794e-190,0.5167509568302114,0.634,0.443,5.65554426716903e-186,1,Abi3bp,0.191
2.839051802544469e-189,0.600619826502441,0.608,0.427,7.102455894425498e-185,1,Slc43a3,0.181
4.156152200716063e-188,0.5008505955554385,0.621,0.428,1.0397445960531374e-183,1,Tmed9,0.193
1.6367415027101357e-183,0.5303136682114747,0.543,0.353,4.0946362173299464e-179,1,Tceal9,0.19000000000000006
2.731867006434286e-176,0.5212633270898127,0.579,0.395,6.834311689996653e-172,1,Lamc1,0.18399999999999994
1.1951472807713769e-162,0.5255215669080331,0.502,0.329,2.9898999523057535e-158,1,Fndc3b,0.173
6.611302163133756e-152,0.6520901662744012,0.551,0.39,1.653949462151172e-147,1,Ccn5,0.16100000000000003
0,2.296247001805307,0.503,0.096,0,2,Scgb1a1,0.40700000000000003
0,0.80911697241143,0.995,0.979,0,2,Tmsb4x,0.016000000000000014
0,0.7988746658490653,0.998,0.981,0,2,Fth1,0.017000000000000015
6.037050548960768e-300,0.686287417881744,0.992,0.948,1.5102889358335152e-295,2,Rplp1,0.04400000000000004
3.2696566734532225e-289,0.6975173987625602,0.981,0.917,8.179700099977927e-285,2,Rps12,0.06399999999999995
5.439485549798623e-238,0.5403375517759539,0.994,0.961,1.3607960999931217e-233,2,Tpt1,0.03300000000000003
7.012478516929179e-236,0.6743867722319998,0.982,0.926,1.7543117505801727e-231,2,Rps29,0.05599999999999994
1.9259893856342915e-232,0.6466757747455358,0.941,0.911,4.818247646041307e-228,2,Ppia,0.029999999999999916
1.7654738385163293e-227,0.6165483353581784,0.98,0.915,4.416685901816301e-223,2,Rps24,0.06499999999999995
9.062550330340274e-218,0.6454296097574046,0.951,0.887,2.2671782161412265e-213,2,Rpl26,0.06399999999999995
1.378333089153324e-215,0.6104551301069758,0.97,0.908,3.448175889134871e-211,2,Rps23,0.061999999999999944
5.102246999407371e-212,0.6423615588348104,0.946,0.884,1.276429131841742e-207,2,Rpl35a,0.061999999999999944
5.582771446104322e-212,0.6736138841144588,0.946,0.894,1.3966419326719181e-207,2,Rpl37,0.051999999999999935
4.5421228641601606e-209,0.5728931683414096,0.968,0.905,1.1363028769269473e-204,2,Rps14,0.06299999999999994
1.7477249197061274e-205,0.731279741436034,0.846,0.798,4.372283431628819e-201,2,Rps25,0.04799999999999993
1.1698823109929305e-202,0.6407721895843188,0.935,0.871,2.926694577411014e-198,2,Rpl34,0.06400000000000006
3.0866439762865538e-195,0.7426082906613809,0.837,0.805,7.721857235476072e-191,2,Rps26,0.03199999999999992
1.3025177535237666e-194,0.6088504138700555,0.95,0.891,3.258508663990407e-190,2,Rps19,0.05899999999999994
7.869155041622408e-194,0.6050890117741938,0.935,0.899,1.968626516762678e-189,2,Rplp2,0.03600000000000003
1.3501207869723475e-191,0.586324495386999,0.967,0.913,3.3775971727687217e-187,2,Rpl37a,0.05399999999999994
1.2290404706915933e-189,0.6339528455435861,0.911,0.858,3.074690545529159e-185,2,Rps11,0.05300000000000005
2.4362669462761456e-189,0.5664292108202422,0.961,0.907,6.094809019499033e-185,2,Fau,0.05399999999999994
2.4567501941835876e-188,0.5652885156237628,0.955,0.899,6.146051960789081e-184,2,Rps27a,0.05599999999999994
5.195329809902574e-186,0.6186230207952406,0.974,0.939,1.299715658543327e-181,2,Ftl1,0.03500000000000003
3.43127744143192e-185,0.570900373874951,0.966,0.922,8.584026775230234e-181,2,Rpl21,0.04399999999999993
6.158156875978762e-182,0.6712192885228618,0.895,0.841,1.540586105663607e-177,2,Rpl38,0.05400000000000005
1.1229683249928988e-179,0.5441840479357569,0.956,0.898,2.809329858634735e-175,2,Rps9,0.05799999999999994
3.478096477629779e-178,0.6010855642079551,0.927,0.861,8.701153958086417e-174,2,Rpl32,0.06600000000000006
4.3717229586254385e-176,0.5836823385607448,0.964,0.908,1.093673932559326e-171,2,Rps27,0.05599999999999994
8.84942387740294e-173,0.6943257799172636,0.839,0.81,2.2138603714098933e-168,2,Rpl22,0.028999999999999915
9.493379373876598e-170,0.5106889144152515,0.965,0.916,2.3749587179627085e-165,2,Rpl9,0.04899999999999993
1.6948068483977042e-167,0.514042864038488,0.958,0.905,4.239898292636537e-163,2,Rpl19,0.052999999999999936
2.8566253436224796e-167,0.6016268040567296,0.941,0.884,7.146419622140357e-163,2,Rpl39,0.05699999999999994
1.3769940947804516e-166,0.5527931830901385,0.929,0.864,3.444826126912256e-162,2,Rpl17,0.06500000000000006
4.6347419366196146e-166,0.5042334023925918,0.975,0.92,1.159473390284129e-161,2,Rpl23,0.05499999999999994
8.976494323038683e-166,0.5295724004546285,0.963,0.905,2.2456495847945872e-161,2,Rps4x,0.05799999999999994
5.00450753640815e-165,0.5386670192270526,0.929,0.891,1.2519776503832267e-160,2,Rpl11,0.038000000000000034
3.2139229797578946e-159,0.525066885572872,0.952,0.905,8.040271118460326e-155,2,Rpl18a,0.04699999999999993
1.8861226452082307e-158,0.6187433513189289,0.876,0.843,4.7185130215174306e-154,2,Rpl36,0.03300000000000003
6.576621214099212e-158,0.5237669706181898,0.94,0.906,1.6452733291312e-153,2,Rps15,0.03399999999999992
5.337081709279617e-153,0.5645168526191477,0.911,0.872,1.3351777312104817e-148,2,Rpl30,0.039000000000000035
1.6361473161793324e-145,0.5789349139837734,0.885,0.845,4.0931497408858356e-141,2,Rps13,0.040000000000000036
2.9890320613983567e-141,0.5339984695171995,0.928,0.868,7.477661508000269e-137,2,Rps18,0.06000000000000005
3.848631571638269e-141,0.610680986852477,0.856,0.833,9.628121602767458e-137,2,Rpl14,0.02300000000000002
4.2072008064710915e-139,0.5447865326892785,0.92,0.864,1.0525154257548729e-134,2,Rps15a,0.05600000000000005
5.219977046691907e-138,0.5038300819400954,0.957,0.903,1.3058816577709143e-133,2,Rps20,0.05399999999999994
3.4786053252231965e-137,0.6482681668934624,0.999,0.998,8.702426942110871e-133,2,Rn18s,0.0010000000000000009
7.167980938869355e-136,0.585349991180447,0.903,0.884,1.7932137914769464e-131,2,Tmsb10,0.019000000000000017
6.502746401900063e-133,0.5062762750050567,0.922,0.875,1.6267920673633386e-128,2,Rps3,0.04700000000000004
2.2142505190274134e-130,0.6434319286889085,0.799,0.783,5.53939052345088e-126,2,Rps17,0.016000000000000014
3.5789471401488268e-130,0.5730344276049222,0.88,0.842,8.95345206051032e-126,2,Rpl12,0.038000000000000034
3.557888104879936e-127,0.6618930294323191,0.789,0.764,8.900768671978136e-123,2,Rpl35,0.025000000000000022
7.032769959426944e-127,0.5610261170599626,0.863,0.825,1.7593880607498386e-122,2,Rps7,0.038000000000000034
1.606658671949298e-122,0.6132848460362584,0.785,0.781,4.019377999615559e-118,2,Rpl27a,0.0040000000000000036
3.836649244537843e-122,0.6229009439212534,0.778,0.778,9.598145415060323e-118,2,Rpl36a,0
